token_id,contract_address,vehicle_info,scenario_type,training_conversation,value,risk_score,premium,verified
1,0x53092a17a6745a2e9b6c386706ddc8adc2ca9165,2022 Toyota Camry,analysis,"User: ""Tell me about my Toyota Camry""
Bot: I can see your 2022 Toyota Camry (Token ID: 1) valued at £11,680. It's located in Richmond (TW9 9NT) which is a low risk area. Based on its standard category and location, I calculate a risk score of 38/100. Would you like me to generate an insurance quote?",11680,37.668,1,True
1,0x53092a17a6745a2e9b6c386706ddc8adc2ca9165,2022 Toyota Camry,quote,"User: ""How much would it cost to insure my Toyota?""
Bot: For your 2022 Toyota Camry worth £11,680, I recommend standard coverage. Given its location in Richmond and risk score of 38/100, the estimated premium is £1/month. This covers theft, damage, and total loss. Shall I create a policy quote?",11680,37.668,1,True
1,0x53092a17a6745a2e9b6c386706ddc8adc2ca9165,2022 Toyota Camry,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Toyota Camry (VIN: 96644463...). ✅ Ownership verified, ⚠️ VIN needs verification, ⚠️ DVLA verification pending. You can proceed with insurance!",11680,37.668,1,True
1,0x53092a17a6745a2e9b6c386706ddc8adc2ca9165,2022 Toyota Camry,claim,"User: ""I need to file a claim for my Toyota""
Bot: I can help you file a claim for your 2022 Toyota Camry. I see you have an active policy. What type of claim is this? (theft/damage/accident). Please have your police report number and photos ready.",11680,37.668,1,True
2,0xa9cebc93d7ab1ad5d2c0f977e7619869a0efd44d,2006 Porsche Cayenne,analysis,"User: ""Tell me about my Porsche Cayenne""
Bot: I can see your 2006 Porsche Cayenne (Token ID: 2) valued at £11,280. It's located in Tower Hamlets (E1 6WL) which is a high risk area. Based on its sports category and location, I calculate a risk score of 81/100. Would you like me to generate an insurance quote?",11280,80.628,3,True
2,0xa9cebc93d7ab1ad5d2c0f977e7619869a0efd44d,2006 Porsche Cayenne,quote,"User: ""How much would it cost to insure my Porsche?""
Bot: For your 2006 Porsche Cayenne worth £11,280, I recommend standard coverage. Given its location in Tower Hamlets and risk score of 81/100, the estimated premium is £3/month. This covers theft, damage, and total loss. Shall I create a policy quote?",11280,80.628,3,True
2,0xa9cebc93d7ab1ad5d2c0f977e7619869a0efd44d,2006 Porsche Cayenne,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Porsche Cayenne (VIN: 35172129...). ✅ Ownership verified, ✅ VIN verified, ⚠️ DVLA verification pending. You can proceed with insurance!",11280,80.628,3,True
2,0xa9cebc93d7ab1ad5d2c0f977e7619869a0efd44d,2006 Porsche Cayenne,claim,"User: ""I need to file a claim for my Porsche""
Bot: I can help you file a claim for your 2006 Porsche Cayenne. I see you have an active policy. What type of claim is this? (theft/damage/accident). Please have your police report number and photos ready.",11280,80.628,3,True
3,0xa9cebc935900daec03399a4c6e06f32ab3b0259b,2012 Porsche Panamera,analysis,"User: ""Tell me about my Porsche Panamera""
Bot: I can see your 2012 Porsche Panamera (Token ID: 3) valued at £20,295. It's located in Mayfair (W1 9WI) which is a high risk area. Based on its sports category and location, I calculate a risk score of 79/100. Would you like me to generate an insurance quote?",20295,78.5295,6,True
3,0xa9cebc935900daec03399a4c6e06f32ab3b0259b,2012 Porsche Panamera,quote,"User: ""How much would it cost to insure my Porsche?""
Bot: For your 2012 Porsche Panamera worth £20,295, I recommend standard coverage. Given its location in Mayfair and risk score of 79/100, the estimated premium is £6/month. This covers theft, damage, and total loss. Shall I create a policy quote?",20295,78.5295,6,True
3,0xa9cebc935900daec03399a4c6e06f32ab3b0259b,2012 Porsche Panamera,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Porsche Panamera (VIN: 90199117...). ✅ Ownership verified, ⚠️ VIN needs verification, ✅ DVLA verified. You can proceed with insurance!",20295,78.5295,6,True
3,0xa9cebc935900daec03399a4c6e06f32ab3b0259b,2012 Porsche Panamera,claim,"User: ""What's the status of my claim?""
Bot: Your previous claim for the Porsche Panamera was processed. You have 1 claim on record. This may affect future premiums. Would you like to file a new claim?",20295,78.5295,6,True
4,0xfac8f46f44e581a5c66ef570c523237d3e995e37,2021 Jaguar E-Type,analysis,"User: ""Tell me about my Jaguar E-Type""
Bot: I can see your 2021 Jaguar E-Type (Token ID: 4) valued at £42,983. It's located in Mayfair (W1 9NS) which is a high risk area. Based on its luxury category and location, I calculate a risk score of 89/100. Would you like me to generate an insurance quote?",42983,88.89829999999999,16,False
4,0xfac8f46f44e581a5c66ef570c523237d3e995e37,2021 Jaguar E-Type,quote,"User: ""How much would it cost to insure my Jaguar?""
Bot: For your 2021 Jaguar E-Type worth £42,983, I recommend comprehensive coverage. Given its location in Mayfair and risk score of 89/100, the estimated premium is £16/month. This covers theft, damage, and total loss. Shall I create a policy quote?",42983,88.89829999999999,16,False
4,0xfac8f46f44e581a5c66ef570c523237d3e995e37,2021 Jaguar E-Type,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Jaguar E-Type (VIN: 14508916...). ⚠️ Ownership needs verification, ✅ VIN verified, ✅ DVLA verified. Please upload your V5C document for verification.",42983,88.89829999999999,16,False
4,0xfac8f46f44e581a5c66ef570c523237d3e995e37,2021 Jaguar E-Type,claim,"User: ""What's the status of my claim?""
Bot: Your previous claim for the Jaguar E-Type was processed. You have 1 claim on record. This may affect future premiums. Would you like to file a new claim?",42983,88.89829999999999,16,False
5,0x92b457e4cb5344aaf0891edb1e187880581ab152,2017 Audi R8,analysis,"User: ""Tell me about my Audi R8""
Bot: I can see your 2017 Audi R8 (Token ID: 5) valued at £43,623. It's located in Mayfair (W1 5FV) which is a high risk area. Based on its premium category and location, I calculate a risk score of 68/100. Would you like me to generate an insurance quote?",43623,68.3623,12,True
5,0x92b457e4cb5344aaf0891edb1e187880581ab152,2017 Audi R8,quote,"User: ""How much would it cost to insure my Audi?""
Bot: For your 2017 Audi R8 worth £43,623, I recommend comprehensive coverage. Given its location in Mayfair and risk score of 68/100, the estimated premium is £12/month. This covers theft, damage, and total loss. Shall I create a policy quote?",43623,68.3623,12,True
5,0x92b457e4cb5344aaf0891edb1e187880581ab152,2017 Audi R8,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Audi R8 (VIN: 90669373...). ✅ Ownership verified, ✅ VIN verified, ✅ DVLA verified. You can proceed with insurance!",43623,68.3623,12,True
5,0x92b457e4cb5344aaf0891edb1e187880581ab152,2017 Audi R8,claim,"User: ""I need to file a claim for my Audi""
Bot: I can help you file a claim for your 2017 Audi R8. I see you have an active policy. What type of claim is this? (theft/damage/accident). Please have your police report number and photos ready.",43623,68.3623,12,True
6,0x53092a17e80faab6a961b67b5a4914a8defa4a55,2000 Toyota Corolla,analysis,"User: ""Tell me about my Toyota Corolla""
Bot: I can see your 2000 Toyota Corolla (Token ID: 6) valued at £1,243. It's located in Enfield (EN1 4HZ) which is a medium risk area. Based on its standard category and location, I calculate a risk score of 53/100. Would you like me to generate an insurance quote?",1243,52.6243,0,False
6,0x53092a17e80faab6a961b67b5a4914a8defa4a55,2000 Toyota Corolla,quote,"User: ""How much would it cost to insure my Toyota?""
Bot: For your 2000 Toyota Corolla worth £1,243, I recommend standard coverage. Given its location in Enfield and risk score of 53/100, the estimated premium is £0/month. This covers theft, damage, and total loss. Shall I create a policy quote?",1243,52.6243,0,False
6,0x53092a17e80faab6a961b67b5a4914a8defa4a55,2000 Toyota Corolla,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Toyota Corolla (VIN: 55683594...). ⚠️ Ownership needs verification, ⚠️ VIN needs verification, ⚠️ DVLA verification pending. Please upload your V5C document for verification.",1243,52.6243,0,False
6,0x53092a17e80faab6a961b67b5a4914a8defa4a55,2000 Toyota Corolla,claim,"User: ""I need to file a claim for my Toyota""
Bot: I can help you file a claim for your 2000 Toyota Corolla. I see you have an active policy. What type of claim is this? (theft/damage/accident). Please have your police report number and photos ready.",1243,52.6243,0,False
7,0x6c5b90cea7c73af32f56ee8e001076c1a180ad1a,2003 Ferrari F40,analysis,"User: ""Tell me about my Ferrari F40""
Bot: I can see your 2003 Ferrari F40 (Token ID: 7) valued at £31,942. It's located in Tower Hamlets (E1 2AT) which is a high risk area. Based on its supercar category and location, I calculate a risk score of 95/100. Would you like me to generate an insurance quote?",31942,95.0,12,True
7,0x6c5b90cea7c73af32f56ee8e001076c1a180ad1a,2003 Ferrari F40,quote,"User: ""How much would it cost to insure my Ferrari?""
Bot: For your 2003 Ferrari F40 worth £31,942, I recommend comprehensive coverage. Given its location in Tower Hamlets and risk score of 95/100, the estimated premium is £12/month. This covers theft, damage, and total loss. Shall I create a policy quote?",31942,95.0,12,True
7,0x6c5b90cea7c73af32f56ee8e001076c1a180ad1a,2003 Ferrari F40,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Ferrari F40 (VIN: 23942006...). ✅ Ownership verified, ✅ VIN verified, ✅ DVLA verified. You can proceed with insurance!",31942,95.0,12,True
7,0x6c5b90cea7c73af32f56ee8e001076c1a180ad1a,2003 Ferrari F40,claim,"User: ""I need to file a claim for my Ferrari""
Bot: I can help you file a claim for your 2003 Ferrari F40. I see you have an active policy. What type of claim is this? (theft/damage/accident). Please have your police report number and photos ready.",31942,95.0,12,True
8,0xfac8f46f77f3f8797d498608ad38a2f1087cebff,2022 Jaguar F-Type,analysis,"User: ""Tell me about my Jaguar F-Type""
Bot: I can see your 2022 Jaguar F-Type (Token ID: 8) valued at £23,360. It's located in Croydon (CR0 6FU) which is a medium risk area. Based on its luxury category and location, I calculate a risk score of 82/100. Would you like me to generate an insurance quote?",23360,82.036,6,False
8,0xfac8f46f77f3f8797d498608ad38a2f1087cebff,2022 Jaguar F-Type,quote,"User: ""How much would it cost to insure my Jaguar?""
Bot: For your 2022 Jaguar F-Type worth £23,360, I recommend standard coverage. Given its location in Croydon and risk score of 82/100, the estimated premium is £6/month. This covers theft, damage, and total loss. Shall I create a policy quote?",23360,82.036,6,False
8,0xfac8f46f77f3f8797d498608ad38a2f1087cebff,2022 Jaguar F-Type,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Jaguar F-Type (VIN: 81373680...). ⚠️ Ownership needs verification, ✅ VIN verified, ✅ DVLA verified. Please upload your V5C document for verification.",23360,82.036,6,False
8,0xfac8f46f77f3f8797d498608ad38a2f1087cebff,2022 Jaguar F-Type,claim,"User: ""What's the status of my claim?""
Bot: Your previous claim for the Jaguar F-Type was processed. You have 1 claim on record. This may affect future premiums. Would you like to file a new claim?",23360,82.036,6,False
9,0xa9cebc93a3196cb157e5221fb12e3d942901caff,2015 Porsche Panamera,analysis,"User: ""Tell me about my Porsche Panamera""
Bot: I can see your 2015 Porsche Panamera (Token ID: 9) valued at £26,063. It's located in Tower Hamlets (E1 3NG) which is a high risk area. Based on its sports category and location, I calculate a risk score of 78/100. Would you like me to generate an insurance quote?",26063,77.6063,8,True
9,0xa9cebc93a3196cb157e5221fb12e3d942901caff,2015 Porsche Panamera,quote,"User: ""How much would it cost to insure my Porsche?""
Bot: For your 2015 Porsche Panamera worth £26,063, I recommend standard coverage. Given its location in Tower Hamlets and risk score of 78/100, the estimated premium is £8/month. This covers theft, damage, and total loss. Shall I create a policy quote?",26063,77.6063,8,True
9,0xa9cebc93a3196cb157e5221fb12e3d942901caff,2015 Porsche Panamera,verification,"User: ""Is my vehicle ownership verified?""
Bot: Let me check your Porsche Panamera (VIN: 56168601...). ✅ Ownership verified, ✅ VIN verified, ✅ DVLA verified. You can proceed with insurance!",26063,77.6063,8,True
9,0xa9cebc93a3196cb157e5221fb12e3d942901caff,2015 Porsche Panamera,claim,"User: ""I need to file a claim for my Porsche""
Bot: I can help you file a claim for your 2015 Porsche Panamera. I see you have an active policy. What type of claim is this? (theft/damage/accident). Please have your police report number and photos ready.",26063,77.6063,8,True
10,0x53092a173c0f9d09e774cd9f900306fb184ec34e,2007 Toyota Prius,analysis,"User: ""Tell me about my Toyota Prius""
Bot: I can see your 2007 Toyota Prius (Token ID: 10) valued at £2,675. It's located in Enfield (EN1 4RP) which is a medium risk area. Based on its standard category and location, I calculate a risk score of 49/100. Would you like me to generate an insurance quote?",2675,49.2675,0,True
10,0x53092a173c0f9d09e774cd9f900306fb184ec34e,2007 Toyota Prius,quote,"User: ""How much would it cost to insure my Toyota?""
Bot: For your 2007 Toyota Prius worth £2,675, I recommend standard coverage. Given its location in Enfield and risk score of 49/100, the estimated premium is £0/month. This covers theft, damage, and total loss. Shall I create a policy quote?",2675,49.2675,0,True
